index	jobid	err_file	out_file	CHR	PART	INTERVAL	OUT
1	52149	angsd.52149.1.err	angsd.52149.1.out	chr3  CHR_LEN=238017767	1/20  INTERVAL=chr3:1-11900889	chr3:1-11900889	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr3.part1.1_11900889
2	52149	angsd.52149.2.err	angsd.52149.2.out	chr3  CHR_LEN=238017767	2/20  INTERVAL=chr3:11900890-23801778	chr3:11900890-23801778	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr3.part2.11900890_23801778
2	52273	angsd.52273.2.err	angsd.52273.2.out	chr4  CHR_LEN=250330460	2/20  INTERVAL=chr4:12516524-25033046	chr4:12516524-25033046	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr4.part2.12516524_25033046
3	52273	angsd.52273.3.err	angsd.52273.3.out	chr4  CHR_LEN=250330460	3/20  INTERVAL=chr4:25033047-37549569	chr4:25033047-37549569	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr4.part3.25033047_37549569
4	52142	angsd.52142.4.err	angsd.52142.4.out	chr1  CHR_LEN=308452471	4/20  INTERVAL=chr1:46267873-61690496	chr1:46267873-61690496	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr1.part4.46267873_61690496
4	52273	angsd.52273.4.err	angsd.52273.4.out	chr4  CHR_LEN=250330460	4/20  INTERVAL=chr4:37549570-50066092	chr4:37549570-50066092	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr4.part4.37549570_50066092
5	52273	angsd.52273.5.err	angsd.52273.5.out	chr4  CHR_LEN=250330460	5/20  INTERVAL=chr4:50066093-62582615	chr4:50066093-62582615	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr4.part5.50066093_62582615
6	52273	angsd.52273.6.err	angsd.52273.6.out	chr4  CHR_LEN=250330460	6/20  INTERVAL=chr4:62582616-75099138	chr4:62582616-75099138	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr4.part6.62582616_75099138
6	52276	angsd.52276.6.err	angsd.52276.6.out	chr5  CHR_LEN=226353449	6/20  INTERVAL=chr5:56588366-67906038	chr5:56588366-67906038	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr5.part6.56588366_67906038
7	52273	angsd.52273.7.err	angsd.52273.7.out	chr4  CHR_LEN=250330460	7/20  INTERVAL=chr4:75099139-87615661	chr4:75099139-87615661	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr4.part7.75099139_87615661
8	52273	angsd.52273.8.err	angsd.52273.8.out	chr4  CHR_LEN=250330460	8/20  INTERVAL=chr4:87615662-100132184	chr4:87615662-100132184	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr4.part8.87615662_100132184
9	52273	angsd.52273.9.err	angsd.52273.9.out	chr4  CHR_LEN=250330460	9/20  INTERVAL=chr4:100132185-112648707	chr4:100132185-112648707	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr4.part9.100132185_112648707
11	52273	angsd.52273.11.err	angsd.52273.11.out	chr4  CHR_LEN=250330460	11/20  INTERVAL=chr4:125165231-137681753	chr4:125165231-137681753	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr4.part11.125165231_137681753
12	52273	angsd.52273.12.err	angsd.52273.12.out	chr4  CHR_LEN=250330460	12/20  INTERVAL=chr4:137681754-150198276	chr4:137681754-150198276	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr4.part12.137681754_150198276
13	52273	angsd.52273.13.err	angsd.52273.13.out	chr4  CHR_LEN=250330460	13/20  INTERVAL=chr4:150198277-162714799	chr4:150198277-162714799	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr4.part13.150198277_162714799
14	52273	angsd.52273.14.err	angsd.52273.14.out	chr4  CHR_LEN=250330460	14/20  INTERVAL=chr4:162714800-175231322	chr4:162714800-175231322	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr4.part14.162714800_175231322
14	52276	angsd.52276.14.err	angsd.52276.14.out	chr5  CHR_LEN=226353449	14/20  INTERVAL=chr5:147129750-158447422	chr5:147129750-158447422	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr5.part14.147129750_158447422
15	52273	angsd.52273.15.err	angsd.52273.15.out	chr4  CHR_LEN=250330460	15/20  INTERVAL=chr4:175231323-187747845	chr4:175231323-187747845	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr4.part15.175231323_187747845
15	52278	angsd.52278.15.err	angsd.52278.15.out	chr7  CHR_LEN=185808916	15/20  INTERVAL=chr7:130066245-139356690	chr7:130066245-139356690	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr7.part15.130066245_139356690
16	52149	angsd.52149.16.err	angsd.52149.16.out	chr3  CHR_LEN=238017767	16/20  INTERVAL=chr3:178513336-190414224	chr3:178513336-190414224	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr3.part16.178513336_190414224
16	52278	angsd.52278.16.err	angsd.52278.16.out	chr7  CHR_LEN=185808916	16/20  INTERVAL=chr7:139356691-148647136	chr7:139356691-148647136	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr7.part16.139356691_148647136
17	52149	angsd.52149.17.err	angsd.52149.17.out	chr3  CHR_LEN=238017767	17/20  INTERVAL=chr3:190414225-202315113	chr3:190414225-202315113	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr3.part17.190414225_202315113
17	52273	angsd.52273.17.err	angsd.52273.17.out	chr4  CHR_LEN=250330460	17/20  INTERVAL=chr4:200264369-212780891	chr4:200264369-212780891	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr4.part17.200264369_212780891
18	52149	angsd.52149.18.err	angsd.52149.18.out	chr3  CHR_LEN=238017767	18/20  INTERVAL=chr3:202315114-214216002	chr3:202315114-214216002	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr3.part18.202315114_214216002
18	52273	angsd.52273.18.err	angsd.52273.18.out	chr4  CHR_LEN=250330460	18/20  INTERVAL=chr4:212780892-225297414	chr4:212780892-225297414	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr4.part18.212780892_225297414
19	52149	angsd.52149.19.err	angsd.52149.19.out	chr3  CHR_LEN=238017767	19/20  INTERVAL=chr3:214216003-226116891	chr3:214216003-226116891	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr3.part19.214216003_226116891
19	52273	angsd.52273.19.err	angsd.52273.19.out	chr4  CHR_LEN=250330460	19/20  INTERVAL=chr4:225297415-237813937	chr4:225297415-237813937	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr4.part19.225297415_237813937
19	52279	angsd.52279.19.err	angsd.52279.19.out	chr8  CHR_LEN=182411202	19/20  INTERVAL=chr8:164170099-173290659	chr8:164170099-173290659	/rsstu/users/r/rrellan/BZea/angsd_genotyping/angsd_full_snps/BZea_chr8.part19.164170099_173290659
