locus	chromosome	cM
3498	1	0.003218472
9534	1	0.008772131
9552	1	0.008788692
9572	1	0.008807094
9606	1	0.008838377
9635	1	0.00886506
43819	1	0.04031739
45731	1	0.0420766
62791	1	0.057773323
62960	1	0.057928818
112883	1	0.103862432
113727	1	0.104638988
115176	1	0.105972197
115346	1	0.106128612
117151	1	0.107789373
117282	1	0.107909905
128694	1	0.118409963
130363	1	0.119945592
137146	1	0.126186557
144348	1	0.13281304
146855	1	0.135119704
146936	1	0.135194231
146955	1	0.135211713
154697	1	0.142335043
154700	1	0.142337804
157104	1	0.144549698
234861	1	0.216093076
237581	1	0.218595719
237863	1	0.218855184
239957	1	0.220781851
242900	1	0.223489674
254737	1	0.23438077
255641	1	0.23521253
256970	1	0.236435329
257862	1	0.237256049
263664	1	0.242594406
265418	1	0.244208243
265691	1	0.244459427
267721	1	0.246327208
267908	1	0.246499265
294723	1	0.271171458
295862	1	0.272219439
298563	1	0.2747046
306942	1	0.282414028
324944	1	0.298977474
327095	1	0.300956586
328202	1	0.301975125
332512	1	0.305940709
332902	1	0.306299544
332975	1	0.306366711
332983	1	0.306374071
357007	1	0.328478295
358752	1	0.330083851
358961	1	0.330276149
363517	1	0.334468076
391060	1	0.359810094
393499	1	0.362054191
395380	1	0.363784879
407851	1	0.375259312
418926	1	0.3854493
420911	1	0.387275677
434899	1	0.400145885
448874	1	0.413004132
457462	1	0.420905859
457890	1	0.421299657
503241	1	0.463026623
503667	1	0.463418581
508223	1	0.467610508
509054	1	0.468375102
511769	1	0.470873144
514682	1	0.473553364
525992	1	0.483959573
529041	1	0.486764925
541065	1	0.497828078
541209	1	0.497960571
547240	1	0.503509629
619239	1	0.569755134
620399	1	0.570822437
625752	1	0.575747675
629517	1	0.579211811
630404	1	0.58002793
632640	1	0.582085249
642880	1	0.591506963
643539	1	0.592113302
644467	1	0.592967145
645518	1	0.593934158
645549	1	0.593962681
646211	1	0.59457178
649434	1	0.597537228
651879	1	0.599786846
654730	1	0.60241002
656691	1	0.604214315
669647	1	0.616134991
683384	1	0.628774257
699646	1	0.643736748
700146	1	0.644196793
705437	1	0.649064985
731018	1	0.672601787
765380	1	0.704217893
768305	1	0.706909154
780930	1	0.718525281
812861	1	0.74790465
820639	1	0.755061104
821081	1	0.755467784
841177	1	0.773957897
844769	1	0.777262857
862524	1	0.793599041
863849	1	0.79481816
906444	1	0.83400936
929695	1	0.855402355
930457	1	0.856103463
931557	1	0.857115561
932996	1	0.85843957
949983	1	0.874069125
970333	1	0.892792941
970335	1	0.892794781
973528	1	0.895732626
975751	1	0.897777985
979484	1	0.901212678
981104	1	0.902703222
982084	1	0.90360491
982088	1	0.90360859
982217	1	0.903727281
983240	1	0.904668533
987076	1	0.908197995
991523	1	0.912289632
993450	1	0.914062644
994177	1	0.914731549
994277	1	0.914823558
997334	1	0.91763627
998845	1	0.919026525
999765	1	0.919873007
1003312	1	0.923136564
1003471	1	0.923282858
1006329	1	0.925912473
1009004	1	0.928373712
1009170	1	0.928526446
1009839	1	0.929141986
1010068	1	0.929352687
1011391	1	0.930569965
1013225	1	0.932257408
1033680	1	0.951077833
1033692	1	0.951088874
1033734	1	0.951127518
1034240	1	0.951593083
1041078	1	0.957884654
1041734	1	0.958488232
1041756	1	0.958508474
1042143	1	0.958864549
1047312	1	0.96362049
1051055	1	0.967064384
1053563	1	0.969371968
1056770	1	0.972322694
1057864	1	0.973329271
1063028	1	0.978080612
1074988	1	0.989084879
1098645	1	1.01085143
1100912	1	1.012937272
1101977	1	1.013917167
1127373	1	1.037283753
1128911	1	1.038698851
1128999	1	1.038779819
1129927	1	1.039633661
1130919	1	1.04054639
1131726	1	1.041288902
1151520	1	1.059501148
1153213	1	1.061058859
1169216	1	1.075783047
1169240	1	1.075805129
1187020	1	1.092164316
1188323	1	1.093363192
1192529	1	1.097233087
1197361	1	1.101678958
1199039	1	1.103222868
1201266	1	1.105271907
1207498	1	1.111005903
1221833	1	1.124195382
1224463	1	1.126615217
1225149	1	1.127246398
1242074	1	1.142818908
1248722	1	1.148935661
1261859	1	1.161022873
1261873	1	1.161035755
1264369	1	1.163332297
1269271	1	1.167842575
1275007	1	1.173120207
1275247	1	1.173341028
1310240	1	1.20553771
1312321	1	1.207452416
1391124	1	1.279958208
1404405	1	1.292177913
1410365	1	1.297661644
1411779	1	1.298962651
1417028	1	1.303792199
1417167	1	1.303920091
1421775	1	1.308159862
1424975	1	1.311104148
1426995	1	1.312962728
1433251	1	1.318718806
1449902	1	1.334039212
1450290	1	1.334396207
1465569	1	1.34845425
1470714	1	1.353188109
1471591	1	1.353995027
1482109	1	1.363672526
1488214	1	1.369289671
1491139	1	1.371980932
1496213	1	1.376649464
1498505	1	1.378758309
1506314	1	1.385943286
1508981	1	1.388397164
1510243	1	1.389558316
1517544	1	1.396275888
1518329	1	1.396998158
1525036	1	1.403169196
1525517	1	1.403611759
1534845	1	1.412194351
1560273	1	1.43559038
1562689	1	1.437813316
1565282	1	1.440199107
1565869	1	1.4407392
1567339	1	1.442091731
1568936	1	1.443561113
1569406	1	1.443993555
1573586	1	1.447839528
1576958	1	1.450942069
1578303	1	1.452179589
1580704	1	1.454388723
1607269	1	1.478830894
1635004	1	1.504349568
1639808	1	1.508769677
1650860	1	1.518938503
1654245	1	1.522053005
1664534	1	1.531519803
1664656	1	1.531632054
1665761	1	1.532648753
1665878	1	1.532756403
1665983	1	1.532853013
1666310	1	1.533153882
1666350	1	1.533190685
1666516	1	1.53334342
1666848	1	1.53364889
1682385	1	1.547944316
1683080	1	1.548583778
1685789	1	1.5510763
1699581	1	1.563766171
1747192	1	1.607572539
1748223	1	1.608521151
1749053	1	1.609284825
1749085	1	1.609314268
1751100	1	1.611168248
1751364	1	1.611411151
1756762	1	1.616377793
1758870	1	1.618317341
1761938	1	1.621140175
1762176	1	1.621359156
